Sweep	Chain_1	Chain_2	Chain_3	
43195	-3523.499918279	-3520.602026391	-3528.607971071	
43196	-3523.187156102	-3530.928055456	-3534.115018343	
43197	-3523.187156102	-3534.115018343	-3530.928055456	
43198	-3520.437537426	-3530.81264092	-3526.553646931	
43199	-3524.483264733	-3533.22013488	-3537.078141796	
43200	-3520.437537426	-3539.691980287	-3543.597590534	
43201	-3520.437537426	-3539.691980287	-3543.597590534	
43202	-3524.549408243	-3520.437537426	-3534.039703123	
43203	-3520.437537426	-3524.549408243	-3534.039703123	
43204	-3520.421452742	-3525.001048596	-3535.885702678	
43205	-3520.421452742	-3523.831957735	-3532.200925171	
43206	-3524.503240177	-3520.90111222	-3533.25745011	
43207	-3520.90111222	-3523.835076491	-3529.636614309	
43208	-3520.90111222	-3523.835076491	-3529.636614309	
43209	-3520.205674605	-3527.867833986	-3522.609042836	
43210	-3520.493694621	-3522.759032287	-3527.873751631	
43211	-3520.205118608	-3522.803571658	-3528.263495461	
43212	-3523.081277854	-3527.35013777	-3528.174920794	
43213	-3520.167580393	-3527.08089952	-3536.263813567	
43214	-3520.173523651	-3527.109315764	-3536.314997863	
43215	-3520.188462018	-3527.16830866	-3536.418604544	
43216	-3522.689075725	-3530.679359379	-3533.136666431	
43217	-3520.224458718	-3528.17541972	-3544.324603402	
43218	-3520.628465306	-3527.488934261	-3538.79390195	
43219	-3520.516578968	-3536.08102212	-3541.255370581	
43220	-3520.165229379	-3526.624534746	-3534.521156903	
43221	-3520.165229379	-3526.624534746	-3534.521156903	
43222	-3524.870181621	-3533.704749612	-3534.162922798	
43223	-3524.643872644	-3535.516214959	-3535.978391316	
43224	-3524.643872644	-3535.516214959	-3535.978391316	
43225	-3520.15648414	-3530.738944384	-3530.643349836	
43226	-3525.645609692	-3535.313305114	-3540.876571705	
43227	-3520.15648414	-3524.165777885	-3533.347093363	
43228	-3520.408407302	-3524.646705257	-3534.511664895	
43229	-3520.845388328	-3525.263628323	-3535.666664875	
43230	-3520.155696357	-3526.698623941	-3537.05933972	
43231	-3520.155696357	-3530.708573899	-3526.803630617	
43232	-3524.153290415	-3522.696224128	-3541.515744815	
43233	-3520.155696357	-3535.656214012	-3534.10012509	
43234	-3524.492748731	-3522.937099528	-3529.756260117	
43235	-3524.426418906	-3524.492748731	-3526.716527324	
43236	-3520.15588238	-3520.15588238	-3543.667269565	
43237	-3520.15588238	-3520.15588238	-3543.667269565	
43238	-3523.167182967	-3526.709312037	-3538.079596929	
43239	-3523.167182967	-3526.709312037	-3538.079596929	
43240	-3526.717082047	-3526.717082047	-3531.977647846	
43241	-3520.165193952	-3535.127079413	-3534.489145533	
43242	-3520.217225401	-3535.164463384	-3540.900905076	
43243	-3524.107905105	-3537.323397555	-3541.147192097	
43244	-3524.132475046	-3537.520562163	-3541.428215524	
43245	-3524.132475046	-3537.520562163	-3541.428215524	
43246	-3525.2003806	-3545.77954551	-3544.668837956	
43247	-3520.15569877	-3534.309163083	-3543.052771771	
43248	-3521.919417495	-3534.125006075	-3542.795518038	
43249	-3522.406382183	-3534.406650738	-3543.064321543	
43250	-3525.599013909	-3530.067585145	-3545.279228499	
43251	-3529.444623978	-3538.40378458	-3533.653696842	
43252	-3524.59197233	-3522.596622456	-3540.492441006	
43253	-3527.935038629	-3523.666286796	-3539.386923376	
43254	-3523.624611188	-3527.272248173	-3533.979785158	
43255	-3520.258480892	-3534.291788151	-3542.55238888	
43256	-3520.258480892	-3539.314484136	-3549.165541685	
