Sweep	Move_type	nBreakpoints	Chain_l	Chain_r
2873	3	1	1	2
2876	1	1	2	1
2877	2	2	1	3
2878	3	5	1	2
2881	1	1	1	2
2885	3	1	1	2
2889	3	1	1	2
2891	3	4	1	2
2892	1	1	2	1
2894	2	2	2	1
2895	1	1	1	2
2896	2	2	3	1
2898	2	2	1	2
2899	3	1	1	2
2904	2	2	2	1
2905	3	1	1	2
2906	3	2	1	2
2907	3	2	2	1
2909	3	2	2	1
2912	1	1	1	2
2913	2	2	2	1
2914	3	2	1	2
2915	3	2	1	2
2918	3	1	2	1
2921	2	2	1	2
2923	2	2	1	2
2925	3	2	1	2
2930	2	2	2	1
2934	3	2	1	3
2937	2	2	1	2
2940	3	1	2	1
2941	2	2	2	1
2942	1	1	2	1
2943	3	1	1	2
2945	2	2	1	2
2947	3	2	2	1
2950	3	1	2	1
2951	2	2	2	1
2952	1	1	2	1
2960	3	1	1	3
2967	3	1	1	2
2968	1	1	1	3
2970	2	2	3	1
2971	2	2	1	2
2974	2	2	1	3
2976	2	2	3	2
2980	3	1	1	2
2982	2	2	1	2
2989	3	1	1	2
2990	1	1	2	1
2991	2	2	1	3
2993	3	2	1	2
2999	1	1	1	2
3000	2	2	1	2
3005	1	1	2	1
3006	1	1	1	2
3010	1	1	1	2
3013	3	2	1	2
3017	3	2	1	2
3021	2	2	1	2
3025	2	2	1	3
3026	1	1	1	3
3029	3	4	1	2
3032	2	2	1	2
3033	2	2	1	2
3039	1	1	1	3
3043	1	1	1	3
3047	2	2	2	1
3055	2	2	1	2
3056	2	2	1	2
3059	3	1	1	2
3066	2	2	2	3
3069	1	1	1	2
3071	2	2	1	2
3072	1	1	2	1
3073	2	2	1	2
3079	2	2	1	2
3080	3	2	1	2
3082	1	1	1	3
3083	1	1	1	2
3090	2	2	1	2
3092	2	2	2	1
3093	2	2	2	1
3095	3	1	1	3
3097	2	2	2	1
3105	1	1	1	2
3106	3	1	2	1
3111	2	2	2	1
3112	2	2	1	2
3113	3	1	1	2
3114	3	1	1	2
3115	1	1	2	1
3116	1	1	1	2
3118	3	2	3	1
3120	2	2	1	2
3121	2	2	1	2
3123	2	2	2	1
3126	1	1	1	2
3136	3	2	2	1
